GRANTEE,OWNER,TABLE_NAME,GRANTOR,PRIVILEGE,GRA,HIE,COM,TYPE,INH
APPLICATION_TRACE_VIEWER,SYS,V_$DIAG_APP_TRACE_FILE,SYS,SELECT,NO,NO,NO,VIEW,NO
APPLICATION_TRACE_VIEWER,SYS,V_$DIAG_OPT_TRACE_RECORDS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPLICATION_TRACE_VIEWER,SYS,V_$DIAG_SESS_OPT_TRACE_RECORDS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPLICATION_TRACE_VIEWER,SYS,V_$DIAG_SESS_SQL_TRACE_RECORDS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPLICATION_TRACE_VIEWER,SYS,V_$DIAG_SQL_TRACE_RECORDS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_2PC_PENDING,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_CONSTRAINTS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_DATA_FILES,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_DB_LINKS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_DDL_LOCKS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_DML_LOCKS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_EXTENTS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_INDEXES,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_JOBS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_JOBS_RUNNING,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_LOCK,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_OBJECTS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_SEGMENTS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_SEQUENCES,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_SOURCE,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_SYNONYMS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_TABLES,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_TABLESPACES,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_TAB_COLUMNS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_TAB_STATISTICS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_TRIGGERS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,DBA_TRIGGER_COLS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,GV_$LOCK,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,GV_$LOCKED_OBJECT,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,GV_$PARAMETER,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,GV_$PARAMETER2,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,GV_$PROCESS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,GV_$RESOURCE_LIMIT,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,GV_$SESSION,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,GV_$SESSION_LONGOPS,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,GV_$SQL,SYS,SELECT,NO,NO,NO,VIEW,NO
APPSUP,SYS,GV_$SQLAREA,SYS,SELECT,NO,NO,NO,VIEW,NO
